transfers	n_species	community_id	strep_conc	replicate	OD
3	2	P16	256	2	0.266
5	2	P16	256	2	0.257
7	2	P16	256	2	0.3
8	2	P16	256	2	0.297
1	2	P17	0	1	0.556
3	2	P17	0	1	0.296
5	2	P17	0	1	0.321
7	2	P17	0	1	0.339
8	2	P17	0	1	0.35
1	2	P17	0	2	0.687
3	2	P17	0	2	0.304
5	2	P17	0	2	0.339
7	2	P17	0	2	0.325
8	2	P17	0	2	0.342
1	2	P17	16	1	0.653
3	2	P17	16	1	0.208
5	2	P17	16	1	0.232
7	2	P17	16	1	0.227
8	2	P17	16	1	0.233
1	2	P17	16	2	0.646
3	2	P17	16	2	0.199
5	2	P17	16	2	0.229
7	2	P17	16	2	0.227
8	2	P17	16	2	0.212
1	2	P17	64	1	0.626
3	2	P17	64	1	0.214
5	2	P17	64	1	0.224
7	2	P17	64	1	0.218
8	2	P17	64	1	0.211
1	2	P17	64	2	0.624
3	2	P17	64	2	0.221
5	2	P17	64	2	0.222
7	2	P17	64	2	0.216
8	2	P17	64	2	0.211
1	2	P17	256	1	0.53
3	2	P17	256	1	0.211
5	2	P17	256	1	0.222
7	2	P17	256	1	0.216
8	2	P17	256	1	0.197
1	2	P17	256	2	0.685
3	2	P17	256	2	0.204
5	2	P17	256	2	0.223
7	2	P17	256	2	0.212
8	2	P17	256	2	0.2
1	2	P18	0	1	0.66
3	2	P18	0	1	0.277
5	2	P18	0	1	0.31
7	2	P18	0	1	0.305
8	2	P18	0	1	0.316
1	2	P18	0	2	0.719
3	2	P18	0	2	0.25
5	2	P18	0	2	0.305
7	2	P18	0	2	0.305
8	2	P18	0	2	0.301
1	2	P18	16	1	0.553
3	2	P18	16	1	0.274
5	2	P18	16	1	0.307
7	2	P18	16	1	0.274
8	2	P18	16	1	0.297
1	2	P18	16	2	0.568
3	2	P18	16	2	0.271
5	2	P18	16	2	0.3
7	2	P18	16	2	0.306
8	2	P18	16	2	0.277
1	2	P18	64	1	0.671
3	2	P18	64	1	0.261
5	2	P18	64	1	0.311
7	2	P18	64	1	0.288
8	2	P18	64	1	0.252
1	2	P18	64	2	0.676
3	2	P18	64	2	0.27
5	2	P18	64	2	0.277
7	2	P18	64	2	0.298
8	2	P18	64	2	0.266
1	2	P18	256	1	0.589
3	2	P18	256	1	0.271
5	2	P18	256	1	0.287
7	2	P18	256	1	0.289
8	2	P18	256	1	0.307
1	2	P18	256	2	0.679
3	2	P18	256	2	0.269
5	2	P18	256	2	0.291
7	2	P18	256	2	0.294
8	2	P18	256	2	0.295
1	2	P19	0	1	0.601
3	2	P19	0	1	0.326
5	2	P19	0	1	0.357
7	2	P19	0	1	0.37
8	2	P19	0	1	0.36
1	2	P19	0	2	0.724
3	2	P19	0	2	0.344
5	2	P19	0	2	0.366
7	2	P19	0	2	0.362
8	2	P19	0	2	0.347
1	2	P19	16	1	0.672
3	2	P19	16	1	0.244
5	2	P19	16	1	0.278
7	2	P19	16	1	0.256
8	2	P19	16	1	0.265
1	2	P19	16	2	0.639
3	2	P19	16	2	0.239
5	2	P19	16	2	0.274
7	2	P19	16	2	0.273
8	2	P19	16	2	0.27
1	2	P19	64	1	0.631
3	2	P19	64	1	0.266
5	2	P19	64	1	0.265
7	2	P19	64	1	0.263
8	2	P19	64	1	0.256
1	2	P19	64	2	0.653
3	2	P19	64	2	0.255
5	2	P19	64	2	0.251
7	2	P19	64	2	0.27
8	2	P19	64	2	0.243
1	2	P19	256	1	0.52
3	2	P19	256	1	0.232
5	2	P19	256	1	0.175
7	2	P19	256	1	0.177
8	2	P19	256	1	0.202
1	2	P19	256	2	0.593
3	2	P19	256	2	0.213
5	2	P19	256	2	0.219
7	2	P19	256	2	0.208
8	2	P19	256	2	0.21
1	2	P02	0	1	0.758
3	2	P02	0	1	0.295
5	2	P02	0	1	0.25
7	2	P02	0	1	0.229
8	2	P02	0	1	0.238
1	2	P02	0	2	0.775
3	2	P02	0	2	0.266
5	2	P02	0	2	0.283
7	2	P02	0	2	0.225
8	2	P02	0	2	0.263
1	2	P02	16	1	0.815
3	2	P02	16	1	0.316
5	2	P02	16	1	0.273
7	2	P02	16	1	0.268
8	2	P02	16	1	0.268
1	2	P02	16	2	0.636
3	2	P02	16	2	0.399
5	2	P02	16	2	0.248
7	2	P02	16	2	0.287
8	2	P02	16	2	0.245
1	2	P02	64	1	0.782
3	2	P02	64	1	0.268
5	2	P02	64	1	0.29
7	2	P02	64	1	0.279
8	2	P02	64	1	0.227
1	2	P02	64	2	0.768
3	2	P02	64	2	0.264
5	2	P02	64	2	0.298
7	2	P02	64	2	0.245
8	2	P02	64	2	0.29
1	2	P02	256	1	0.877
3	2	P02	256	1	0.273
5	2	P02	256	1	0.289
7	2	P02	256	1	0.279
8	2	P02	256	1	0.308
1	2	P02	256	2	0.773
3	2	P02	256	2	0.275
5	2	P02	256	2	0.282
7	2	P02	256	2	0.269
8	2	P02	256	2	0.248
1	2	P20	0	1	0.587
3	2	P20	0	1	0.302
5	2	P20	0	1	0.344
7	2	P20	0	1	0.363
8	2	P20	0	1	0.36
1	2	P20	0	2	0.739
3	2	P20	0	2	0.324
5	2	P20	0	2	0.352
7	2	P20	0	2	0.353
8	2	P20	0	2	0.339
1	2	P20	16	1	0.585
3	2	P20	16	1	0.24
5	2	P20	16	1	0.275
